09-02 22:30:44.493 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 16 of 32 (1m 35s remain percent=50 max=100 session=S3-1788367015251-6524
09-02 22:30:50.250 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 17 of 32 (1m 29s remaining))
09-02 22:30:50.253 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 17 of 32 (1m 29s remain percent=53 max=100 session=S3-1788367015251-6524
09-02 22:30:55.939 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 18 of 32 (1m 23s remaining))
09-02 22:30:55.940 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 18 of 32 (1m 23s remain percent=56 max=100 session=S3-1788367015251-6524
09-02 22:31:01.759 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 19 of 32 (1m 17s remaining))
09-02 22:31:01.761 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 19 of 32 (1m 17s remain percent=59 max=100 session=S3-1788367015251-6524
09-02 22:31:07.549 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 20 of 32 (1m 11s remaining))
09-02 22:31:07.550 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 20 of 32 (1m 11s remain percent=62 max=100 session=S3-1788367015251-6524
09-02 22:31:13.370 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 21 of 32 (1m  5s remaining))
09-02 22:31:13.371 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 21 of 32 (1m  5s remain percent=65 max=100 session=S3-1788367015251-6524
09-02 22:31:18.320 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 22 of 32 (59s remaining))
09-02 22:31:18.332 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 22 of 32 (59s remaining percent=68 max=100 session=S3-1788367015251-6524
09-02 22:31:23.999 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 23 of 32 (53s remaining))
09-02 22:31:24.003 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 23 of 32 (53s remaining percent=71 max=100 session=S3-1788367015251-6524
09-02 22:31:29.939 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 24 of 32 (47s remaining))
09-02 22:31:29.948 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 24 of 32 (47s remaining percent=75 max=100 session=S3-1788367015251-6524
09-02 22:31:35.799 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 25 of 32 (41s remaining))
09-02 22:31:35.801 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 25 of 32 (41s remaining percent=78 max=100 session=S3-1788367015251-6524
09-02 22:31:41.349 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 26 of 32 (35s remaining))
09-02 22:31:41.352 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 26 of 32 (35s remaining percent=81 max=100 session=S3-1788367015251-6524
09-02 22:31:46.999 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 27 of 32 (29s remaining))
09-02 22:31:47.000 28326 28326 I S3PPU   : event=install_ppu_active progress_id=3000 msg=Progress: module 27 of 32 (29s remaining percent=84 max=100 session=S3-1788367015251-6524
09-02 22:31:53.369 28326 30034 W RPCS3   : ProgressMessageDialog::ProgressBarSetMsg(0, Progress: module 28 of 32 (23s remaining))
